val_mse,mse,val_mae,mae
0.365921,0.392727,0.26776,0.265565
0.365929,0.39272,0.267728,0.265558
0.365925,0.392712,0.26777,0.265558
0.366011,0.3927,0.267864,0.265529
0.366177,0.39266,0.267956,0.265503
0.366324,0.392502,0.268124,0.265571
0.36619,0.392449,0.268045,0.265561
0.36646,0.392369,0.268454,0.265537
0.366471,0.392356,0.268498,0.265523
0.3665,0.392352,0.268481,0.265501
0.366479,0.39236,0.26853,0.265443
0.366401,0.392338,0.268401,0.265464
0.366476,0.392232,0.268505,0.265415
0.366461,0.39223,0.268414,0.265447
0.366524,0.392235,0.268515,0.265425
0.366497,0.392226,0.268501,0.265434
0.366462,0.392207,0.268473,0.26543
0.366743,0.392157,0.268731,0.265406
0.366722,0.392134,0.268697,0.265336
0.366733,0.392136,0.268714,0.265308
0.366533,0.39202,0.268536,0.265223
0.366346,0.391857,0.268534,0.265094
0.36632,0.391825,0.268516,0.26513
0.366339,0.391825,0.268543,0.265122
0.366372,0.391797,0.268599,0.265018
0.3666,0.391724,0.268679,0.264941
0.366692,0.391679,0.268758,0.264996
0.36666,0.391677,0.268704,0.265008
0.366873,0.391688,0.268784,0.265064
0.366898,0.391648,0.268797,0.264992
0.366997,0.391618,0.26884,0.264928
0.367138,0.391589,0.269009,0.264882
0.367272,0.391588,0.269168,0.264894
0.367292,0.391589,0.269199,0.264888
0.367277,0.391421,0.269183,0.264799
0.36719,0.391388,0.269253,0.264823
0.366953,0.391324,0.269071,0.26478
0.366886,0.391261,0.269069,0.264746
0.36629,0.390834,0.268462,0.264237
0.366338,0.390821,0.268538,0.264171
0.366219,0.390741,0.268497,0.264129
0.366126,0.390692,0.268443,0.264129
0.366137,0.390638,0.268509,0.264155
0.366167,0.390627,0.268559,0.264133
0.366207,0.390479,0.268595,0.263982
0.366267,0.390469,0.268648,0.264007
0.366157,0.390306,0.268532,0.263883
0.366242,0.390157,0.268622,0.263812
0.366236,0.390138,0.268585,0.263873
0.36621,0.390051,0.268692,0.263917
0.366204,0.39005,0.268664,0.263925
0.365835,0.389748,0.268326,0.26374
0.365862,0.389711,0.268338,0.263746
0.365773,0.389628,0.268212,0.263649
0.365738,0.389581,0.268261,0.263692
0.365724,0.389521,0.268236,0.263673
0.365658,0.389515,0.268145,0.263687
0.365029,0.389338,0.267641,0.263517
0.365225,0.389276,0.267669,0.26345
0.365089,0.389275,0.267608,0.263506
0.365,0.389277,0.267455,0.263543
0.364977,0.389194,0.26743,0.263545
0.364916,0.38921,0.267404,0.263489
0.364818,0.389113,0.267392,0.263404
0.364811,0.389119,0.267386,0.263386
0.364702,0.389108,0.267286,0.26339
0.364829,0.389036,0.267252,0.263364
0.364752,0.389007,0.267187,0.263323
0.365018,0.388903,0.26738,0.26331
0.364777,0.388805,0.267233,0.263242
0.364845,0.388787,0.267361,0.263198
0.364496,0.388581,0.267023,0.263125
0.364435,0.388549,0.266999,0.263093
0.364409,0.388498,0.267062,0.263009
0.364286,0.388468,0.266922,0.262974
0.364446,0.388361,0.266992,0.262862
0.364397,0.388311,0.266956,0.262829
0.364435,0.388254,0.266971,0.262855
0.364467,0.38825,0.26698,0.26285
0.364499,0.388236,0.267032,0.262831
0.364507,0.388204,0.267059,0.26283
0.364512,0.388193,0.267089,0.262814
0.364516,0.388169,0.26705,0.262804
0.364292,0.388131,0.26682,0.262752
0.364278,0.388129,0.266796,0.26276
0.364339,0.38807,0.26678,0.262643
0.364467,0.388056,0.266823,0.262737
0.364492,0.388053,0.266829,0.262762
0.364255,0.387787,0.266601,0.262458
0.364093,0.387737,0.266578,0.262384
0.36409,0.387701,0.266655,0.262438
0.363943,0.387647,0.266541,0.262359
0.363944,0.387635,0.266548,0.262354
0.364015,0.38753,0.266649,0.262387
0.364073,0.387528,0.266727,0.262367
0.364285,0.387498,0.266842,0.262235
0.363747,0.387321,0.266413,0.261961
0.363847,0.387328,0.266471,0.261962
0.363688,0.387226,0.266286,0.261942
0.363548,0.387179,0.266174,0.261892
0.363522,0.387147,0.266155,0.261863
0.363652,0.387083,0.266331,0.261839
0.363552,0.387023,0.266202,0.261869
0.363671,0.386864,0.266135,0.261664
0.363508,0.386721,0.26588,0.261541
0.363502,0.386708,0.265866,0.261582
0.363266,0.386644,0.265721,0.261466
0.36333,0.386644,0.265817,0.261476
0.363221,0.386603,0.26574,0.261425
0.363314,0.38642,0.265823,0.261432
0.363323,0.38642,0.265838,0.261429
0.363257,0.386373,0.265727,0.261441
0.363198,0.386367,0.265732,0.261432
0.363192,0.386305,0.265702,0.261364
0.363245,0.386255,0.265746,0.261306
0.363496,0.386224,0.265888,0.26125
0.363596,0.386216,0.266044,0.261232
0.363517,0.38611,0.266155,0.261106
0.36343,0.385906,0.266023,0.260977
0.363405,0.385875,0.265964,0.26096
0.363401,0.385853,0.265958,0.26094
0.363425,0.385842,0.266019,0.260949
0.363471,0.385829,0.266129,0.260884
0.363704,0.385791,0.266361,0.260909
0.363768,0.385705,0.266375,0.260873
0.363685,0.385693,0.266315,0.260862
0.363529,0.385475,0.265991,0.260659
0.363519,0.385397,0.265828,0.260582
0.363498,0.385392,0.26579,0.260597
0.363551,0.385379,0.26581,0.260646
0.363397,0.385346,0.265646,0.260586
0.363404,0.385335,0.265607,0.260563
0.363428,0.385198,0.265489,0.260441
0.363435,0.385059,0.265526,0.260348
0.363596,0.38494,0.265598,0.260289
0.363649,0.384923,0.265623,0.260266
0.36358,0.384858,0.265538,0.260143
0.363447,0.384819,0.265423,0.260117
0.363351,0.384762,0.265302,0.26009
0.363109,0.384648,0.265122,0.259998
0.363099,0.384629,0.265105,0.259994
0.363052,0.384633,0.265024,0.260012
0.363027,0.384635,0.264974,0.260024
0.362976,0.38464,0.264896,0.260042
0.363011,0.38457,0.264956,0.259972
0.362555,0.384435,0.26451,0.259909
0.362634,0.384429,0.264632,0.25989
0.362501,0.384378,0.264592,0.259783
0.362452,0.384367,0.264496,0.259798
0.362518,0.38421,0.264411,0.259638
0.362617,0.384193,0.264539,0.259673
0.362631,0.384188,0.264568,0.259665
0.362689,0.384186,0.264689,0.259644
0.363122,0.384088,0.264881,0.259577
0.363235,0.384055,0.264963,0.25953
0.363235,0.384055,0.264963,0.25953
0.363352,0.384033,0.265124,0.259537
0.363412,0.384036,0.265201,0.25955
0.363484,0.383998,0.265255,0.259522
0.36355,0.383944,0.265337,0.259486
0.36361,0.383935,0.265498,0.259468
0.363512,0.383901,0.265435,0.259447
0.363612,0.38391,0.265557,0.259435
0.363554,0.3839,0.265476,0.259426
0.363522,0.383898,0.265419,0.25943
0.363267,0.383805,0.265301,0.259363
0.36322,0.383689,0.265235,0.259181
0.363202,0.383641,0.265202,0.259169
