val_mse,mse,val_mae,mae
0.455756,0.399706,0.314006,0.27062
0.455808,0.399674,0.314042,0.27059
0.455774,0.399438,0.313733,0.270525
0.455992,0.399418,0.313947,0.270578
0.456172,0.399419,0.314133,0.270623
0.456687,0.399282,0.314563,0.270579
0.456635,0.399192,0.314586,0.270566
0.456935,0.399054,0.314711,0.270547
0.456642,0.398973,0.314433,0.270423
0.456298,0.398674,0.313948,0.270023
0.456158,0.398649,0.313795,0.26996
0.455686,0.398583,0.313403,0.269794
0.455671,0.398496,0.313313,0.269681
0.455925,0.398365,0.313237,0.269522
0.456063,0.398381,0.313414,0.269667
0.455945,0.398248,0.313344,0.269643
0.456272,0.398226,0.313762,0.269733
0.456406,0.398192,0.313833,0.269735
0.456419,0.398077,0.313803,0.269641
0.456748,0.398056,0.31416,0.269697
0.456416,0.397728,0.3134,0.269269
0.456948,0.397529,0.313848,0.26915
0.456862,0.397398,0.313641,0.269003
0.456804,0.397367,0.313634,0.268931
0.456354,0.39728,0.313272,0.268794
0.456406,0.397281,0.313199,0.268817
0.45697,0.397129,0.313582,0.268728
0.457395,0.397016,0.313856,0.268787
0.457327,0.396983,0.313764,0.268746
0.457366,0.396883,0.313814,0.268676
0.457744,0.396889,0.314213,0.268769
0.457042,0.396672,0.313328,0.268596
0.456636,0.396659,0.312899,0.268492
0.456783,0.396473,0.31286,0.268453
0.456567,0.39647,0.312611,0.268402
0.455927,0.396318,0.311675,0.268185
0.45572,0.39624,0.31168,0.268133
0.455694,0.39602,0.311679,0.26803
0.455967,0.396002,0.311965,0.268062
0.456469,0.395799,0.312753,0.267993
0.456435,0.395658,0.312691,0.267937
0.455504,0.395578,0.311552,0.26775
0.455983,0.395393,0.312132,0.267577
0.45576,0.395256,0.311992,0.267486
0.455968,0.395262,0.312221,0.267539
0.455412,0.39521,0.31181,0.267436
0.455589,0.394974,0.311739,0.267334
0.455299,0.394833,0.311462,0.267184
0.455159,0.394803,0.311118,0.267049
0.454942,0.394783,0.310858,0.267012
0.454435,0.39459,0.310458,0.266691
0.454891,0.394405,0.310539,0.266473
0.454183,0.394183,0.309841,0.266141
0.454437,0.394165,0.310211,0.266144
0.454371,0.3939,0.31003,0.266054
0.454984,0.393914,0.31073,0.266208
0.455308,0.393839,0.310946,0.266243
0.455003,0.393811,0.310689,0.266207
0.45473,0.393763,0.310426,0.266111
0.453783,0.39369,0.309255,0.266068
0.454961,0.393571,0.310891,0.265976
0.455167,0.393598,0.310984,0.266033
0.45497,0.393595,0.310769,0.265984
0.455485,0.393608,0.311333,0.266116
0.455264,0.393583,0.311017,0.265961
0.455479,0.393607,0.311331,0.26611
0.455669,0.393604,0.311507,0.266132
0.455123,0.393585,0.310698,0.266072
0.455308,0.393494,0.310901,0.266028
0.45564,0.393403,0.311449,0.266147
0.45518,0.393132,0.311031,0.265758
0.455854,0.393047,0.311599,0.265789
0.455723,0.39296,0.310999,0.265776
0.456053,0.392796,0.3112,0.265778
0.456765,0.392564,0.312319,0.265679
0.456365,0.392363,0.31189,0.265505
0.456091,0.392236,0.311473,0.265281
0.455736,0.392131,0.310886,0.26526
0.455538,0.392068,0.310835,0.26525
0.45544,0.391938,0.31083,0.265164
0.455537,0.391944,0.310936,0.265191
0.455582,0.391958,0.31095,0.265181
0.45451,0.391723,0.309362,0.264816
0.454534,0.391616,0.309346,0.264777
0.45439,0.391491,0.309245,0.264545
0.454525,0.391343,0.30936,0.264391
0.454638,0.391119,0.309308,0.264185
0.454588,0.391087,0.309172,0.264107
0.454201,0.391043,0.308868,0.264013
0.453888,0.391053,0.308175,0.263773
0.453846,0.390864,0.308292,0.263634
0.453591,0.39084,0.308009,0.263552
0.453288,0.39083,0.307685,0.263495
0.453309,0.390812,0.307717,0.263493
0.453477,0.390742,0.307939,0.263389
0.453926,0.390672,0.308254,0.263397
0.453832,0.390629,0.308147,0.263477
0.453469,0.390614,0.307663,0.263495
0.453188,0.390536,0.30766,0.263367
0.453179,0.390504,0.307366,0.26325
0.452974,0.39045,0.307172,0.263207
0.452963,0.39045,0.30716,0.263205
0.453001,0.390435,0.307197,0.263201
0.45301,0.390175,0.307262,0.26311
0.451712,0.390037,0.30561,0.262867
0.451958,0.389934,0.305837,0.26288
0.452008,0.38989,0.306077,0.262889
0.451697,0.389886,0.305741,0.262831
0.452007,0.389842,0.306408,0.262848
0.451665,0.389809,0.306137,0.262704
0.452135,0.38972,0.306634,0.262725
0.452209,0.389705,0.306696,0.262699
0.451623,0.389539,0.306252,0.262638
0.451306,0.389542,0.306035,0.262589
0.451334,0.389514,0.30603,0.262596
0.452046,0.389466,0.306781,0.262589
0.452241,0.38943,0.306754,0.262685
0.452758,0.389437,0.307343,0.262786
0.452941,0.389187,0.307573,0.262696
0.453409,0.389128,0.307832,0.26277
0.453042,0.389097,0.307497,0.262692
0.453565,0.38912,0.307986,0.262761
0.453128,0.388764,0.307835,0.262669
0.45318,0.38874,0.307959,0.262659
0.452456,0.388691,0.306687,0.262667
0.452015,0.388634,0.306379,0.2625
0.452213,0.388606,0.306668,0.262499
0.452149,0.388535,0.30678,0.262653
0.45214,0.388441,0.306748,0.262538
0.452255,0.388304,0.306893,0.262466
0.452737,0.388139,0.307119,0.262329
0.452521,0.388082,0.306976,0.262211
0.45219,0.388091,0.306597,0.262199
0.45201,0.388054,0.306336,0.262135
0.452691,0.387976,0.307046,0.262129
0.452424,0.387652,0.306384,0.261698
0.452854,0.387616,0.306729,0.261733
0.452636,0.387557,0.306644,0.261742
0.45206,0.387481,0.30609,0.261636
0.452566,0.387427,0.306696,0.261723
0.452389,0.387383,0.306303,0.261575
0.452474,0.387342,0.306241,0.261513
0.452539,0.387286,0.306317,0.261342
0.452608,0.387149,0.306411,0.261245
0.452073,0.387146,0.30583,0.261139
0.451906,0.38711,0.305607,0.261152
0.45194,0.386981,0.305759,0.261113
0.452018,0.386908,0.305895,0.261118
0.45155,0.386893,0.305489,0.261175
0.45185,0.386891,0.30584,0.261243
0.452405,0.386797,0.306468,0.261293
0.4524,0.386708,0.306574,0.261302
0.451779,0.386528,0.305889,0.260991
0.451684,0.386472,0.305832,0.260983
0.451495,0.386414,0.30592,0.260974
0.451521,0.386198,0.305522,0.260807
0.450886,0.386096,0.304964,0.260682
0.449929,0.386038,0.304291,0.260538
0.449776,0.38594,0.304246,0.260446
0.449929,0.38592,0.304564,0.260455
0.449963,0.385919,0.304597,0.260464
0.45103,0.385933,0.306091,0.260573
0.451359,0.385919,0.306428,0.260612
0.451745,0.385919,0.306852,0.260691
0.45123,0.385889,0.306332,0.26061
0.451328,0.385889,0.306439,0.260629
0.45139,0.385875,0.306353,0.260642
0.451185,0.385663,0.306412,0.260572
0.451416,0.385664,0.306675,0.260615
0.451535,0.385682,0.306818,0.26071
0.451088,0.385631,0.306468,0.260594
0.451151,0.385583,0.306395,0.260561
0.450767,0.385584,0.305961,0.26049
0.450891,0.385366,0.306479,0.260374
0.450729,0.385366,0.306298,0.260347
0.45052,0.385353,0.305963,0.260326
0.450628,0.385279,0.306159,0.2603
0.451716,0.385306,0.307248,0.260346
0.452096,0.385258,0.307649,0.26036
0.451998,0.385219,0.307496,0.260352
0.452347,0.385202,0.307972,0.2604
0.452286,0.385106,0.308162,0.260238
0.452345,0.385019,0.308372,0.260145
0.452137,0.384896,0.308218,0.260122
0.451796,0.38474,0.307808,0.259935
0.451498,0.384643,0.307413,0.259796
0.451295,0.384564,0.307243,0.259722
0.45174,0.384483,0.307755,0.259685
0.45188,0.384479,0.307922,0.2597
0.452164,0.384503,0.308228,0.259793
0.452077,0.384504,0.308121,0.259782
0.45225,0.384471,0.308188,0.259812
0.45222,0.384492,0.308094,0.259791
0.452265,0.384459,0.308192,0.25977
0.452366,0.384453,0.308063,0.259808
0.45238,0.384358,0.308083,0.259769
0.452425,0.384311,0.308027,0.259779
0.452418,0.384292,0.308057,0.259794
0.452364,0.384293,0.307975,0.259759
0.453699,0.384246,0.309606,0.259836
0.453572,0.384231,0.309563,0.259804
0.453558,0.384045,0.309615,0.259941
0.453447,0.383943,0.309754,0.259914
0.453248,0.383922,0.309533,0.259871
0.453395,0.383851,0.309686,0.259821
0.454064,0.383839,0.310481,0.259956
0.453917,0.383702,0.310014,0.259723
0.453831,0.383627,0.3104,0.259861
0.453587,0.383646,0.310115,0.259904
0.453241,0.38348,0.3099,0.259739
0.452901,0.383494,0.309543,0.259745
0.45309,0.383507,0.309821,0.259849
0.453845,0.383497,0.310589,0.259985
0.453933,0.383376,0.310439,0.259931
0.453751,0.383356,0.310242,0.259895
0.453852,0.383284,0.310715,0.260007
0.454171,0.383277,0.311038,0.260029
0.454415,0.383167,0.311565,0.259974
0.454409,0.382773,0.311851,0.2599
0.454378,0.382758,0.311864,0.259932
0.453475,0.382769,0.311113,0.259865
0.45352,0.382759,0.310865,0.259833
0.453823,0.382726,0.310954,0.259855
0.454399,0.382591,0.311437,0.259716
0.455227,0.382588,0.312195,0.259899
0.455135,0.382566,0.312112,0.259876
0.454941,0.382445,0.311868,0.259727
0.455348,0.382315,0.311929,0.259614
0.455339,0.382312,0.312013,0.259658
0.45498,0.38226,0.311891,0.259606
0.454653,0.382226,0.311535,0.259519
0.454663,0.382185,0.311515,0.259508
0.454221,0.38215,0.311181,0.259402
0.454121,0.382122,0.311051,0.259354
0.453449,0.382012,0.309972,0.259203
0.453294,0.381996,0.309819,0.25908
0.453228,0.381862,0.309897,0.25903
0.453719,0.381438,0.30986,0.25867
0.453936,0.381423,0.310055,0.258709
0.453748,0.38141,0.309845,0.258604
0.453701,0.381357,0.30985,0.258551
0.453512,0.381334,0.309695,0.258501
0.453657,0.381339,0.309813,0.258499
0.45406,0.381326,0.31022,0.258538
0.454012,0.381295,0.310152,0.258526
0.453922,0.381274,0.309951,0.258451
0.454089,0.381276,0.310094,0.258473
0.454742,0.381269,0.310785,0.25854
0.454525,0.381224,0.310645,0.258535
0.454283,0.381219,0.31038,0.258485
0.454338,0.380941,0.310526,0.258176
0.453934,0.380885,0.310242,0.258067
0.453183,0.380849,0.309559,0.257914
0.453038,0.380696,0.309494,0.257821
0.452891,0.380685,0.309344,0.257769
0.452914,0.380639,0.309267,0.257701
0.452921,0.380573,0.309302,0.257861
0.453088,0.380542,0.309351,0.257856
0.453137,0.380528,0.30943,0.257839
0.453183,0.380419,0.309551,0.257769
0.45357,0.38042,0.309959,0.257836
0.453555,0.380261,0.30979,0.257544
0.453556,0.38023,0.30984,0.257552
0.454054,0.380224,0.309933,0.257682
0.453769,0.380099,0.309722,0.257539
0.454102,0.380037,0.310035,0.257546
0.45412,0.380037,0.310054,0.257549
0.453994,0.379966,0.310048,0.257541
0.45414,0.379968,0.310203,0.25757
0.454567,0.379916,0.310699,0.257548
0.454665,0.379898,0.310936,0.257527
0.453961,0.379633,0.31049,0.257167
0.454488,0.379625,0.311106,0.257251
0.454436,0.379609,0.311016,0.25721
0.454607,0.379496,0.31102,0.257145
0.454425,0.37937,0.311042,0.256942
0.454399,0.379309,0.311121,0.256966
0.4548,0.379302,0.311558,0.256978
0.454852,0.379305,0.311618,0.256993
0.454643,0.379278,0.31161,0.256903
0.454505,0.379271,0.311583,0.256868
0.454176,0.379135,0.311184,0.256723
0.454429,0.379051,0.311432,0.256729
0.454732,0.378977,0.311693,0.256703
0.454648,0.378931,0.311719,0.256623
0.454564,0.378886,0.311613,0.256547
0.454822,0.378826,0.311835,0.256602
0.45487,0.378829,0.311894,0.256609
0.454831,0.378823,0.311942,0.256594
0.454795,0.378738,0.31172,0.256438
0.454517,0.37872,0.311414,0.256396
0.454426,0.378719,0.311316,0.256379
0.45511,0.378725,0.312075,0.256577
0.45469,0.378646,0.311574,0.256461
0.454871,0.378618,0.311794,0.256447
0.45448,0.378591,0.311465,0.256381
0.454638,0.378504,0.311888,0.256331
0.454511,0.378501,0.311835,0.256379
0.454064,0.378396,0.311455,0.256181
0.454321,0.378404,0.311664,0.256173
0.454321,0.378404,0.311664,0.256173
0.454501,0.378402,0.311832,0.256229
0.45384,0.378345,0.311274,0.25606
0.45395,0.378332,0.311365,0.256046
0.453889,0.378265,0.31133,0.256094
0.453889,0.378265,0.31133,0.256094
0.453579,0.37818,0.310721,0.255854
0.453727,0.378101,0.310797,0.255806
0.453534,0.378086,0.310635,0.255781
0.453922,0.377943,0.310654,0.255718
0.454021,0.377926,0.310742,0.255756
0.453865,0.377842,0.310808,0.25571
0.454946,0.377828,0.312167,0.25587
0.454819,0.377623,0.311816,0.255724
0.455,0.377581,0.312063,0.255674
0.454074,0.377554,0.311308,0.255585
