Valeur fonciere,Code departement,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Code commune,Surface terrain,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot
215000.0,13,1.0,2.0,67.0,3.0,208.0,0.0,149.0,68.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170757.0,44,3.0,1.0,67.0,3.0,120.0,0.0,1.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
389129.0,76,2.0,2.0,96.0,4.0,351.0,0.0,233.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129600.0,24.0,0.0,1.0,91.0,4.0,418.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,59,0.0,1.0,98.0,4.0,514.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390122.0,6,1.0,1.0,110.0,6.0,18.0,0.0,1.0,128.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160000.0,42,0.0,1.0,151.0,4.0,233.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114900.0,14,0.0,1.0,74.0,4.0,654.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143550.0,33,1.0,2.0,57.0,2.0,274.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520000.0,77,0.0,1.0,178.0,9.0,479.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178000.0,54,1.0,1.0,93.0,4.0,395.0,0.0,113.0,92.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275000.0,59,0.0,1.0,85.0,4.0,378.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320100.0,41,0.0,1.0,175.0,11.0,32.0,1713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210000.0,76,2.0,2.0,99.0,4.0,351.0,0.0,253.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
