Valeur fonciere,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot
145000.0,1.0,2.0,40.0,2.0,0.0,132.0,40.01,0.0,0,0.0,0,0.0,0,0.0,0.0
202000.0,1.0,2.0,69.0,3.0,0.0,27.0,68.04,0.0,0,0.0,0,0.0,0,0.0,0.0
200000.0,1.0,2.0,35.0,2.0,0.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
200000.0,1.0,2.0,36.0,2.0,0.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
212500.0,2.0,2.0,82.0,4.0,0.0,311.0,81.21,353.0,0,0.0,0,0.0,0,0.0,0.0
653500.0,2.0,2.0,150.0,4.0,0.0,8.0,0,9.0,147.02,0.0,0,0.0,0,0.0,0.0
130000.0,1.0,2.0,64.0,3.0,0.0,34.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
275000.0,2.0,2.0,98.0,5.0,0.0,12.0,0,24.0,95.98,0.0,0,0.0,0,0.0,0.0
122000.0,1.0,2.0,50.0,3.0,0.0,1060.0,49.76,0.0,0,0.0,0,0.0,0,0.0,0.0
73325.0,2.0,2.0,25.0,1.0,0.0,1.0,0,13.0,0,0.0,0,0.0,0,0.0,0.0
149000.0,1.0,2.0,66.0,3.0,0.0,31.0,66.5,0.0,0,0.0,0,0.0,0,0.0,0.0
94500.0,1.0,2.0,44.0,2.0,0.0,204.0,44.55,0.0,0,0.0,0,0.0,0,0.0,0.0
880000.0,0.0,1.0,149.0,5.0,159.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
113000.0,1.0,2.0,35.0,1.0,0.0,25.0,19.52,0.0,0,0.0,0,0.0,0,0.0,0.0
347410.0,0.0,1.0,94.0,3.0,295.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
135100.0,1.0,2.0,47.0,2.0,0.0,275.0,47.12,0.0,0,0.0,0,0.0,0,0.0,0.0
68000.0,1.0,2.0,18.0,1.0,0.0,4.0,16.86,0.0,0,0.0,0,0.0,0,0.0,0.0
360000.0,0.0,2.0,62.0,3.0,287.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
360000.0,0.0,2.0,81.0,4.0,287.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
162037.0,1.0,2.0,36.0,1.0,0.0,118.0,37.63,0.0,0,0.0,0,0.0,0,0.0,0.0
77010.0,1.0,2.0,70.0,4.0,0.0,126.0,69.1,0.0,0,0.0,0,0.0,0,0.0,0.0
305000.0,2.0,2.0,106.0,5.0,0.0,12.0,106.46,32.0,0,0.0,0,0.0,0,0.0,0.0
157300.0,2.0,2.0,73.0,4.0,0.0,106.0,75.0,88.0,0,0.0,0,0.0,0,0.0,0.0
107500.0,1.0,2.0,43.0,2.0,0.0,25.0,43.94,0.0,0,0.0,0,0.0,0,0.0,0.0
114000.0,1.0,2.0,26.0,1.0,0.0,9.0,22.54,0.0,0,0.0,0,0.0,0,0.0,0.0
107000.0,2.0,2.0,31.0,1.0,0.0,104.0,0,4.0,0,0.0,0,0.0,0,0.0,0.0
116000.0,1.0,2.0,37.0,2.0,0.0,2.0,33.02,0.0,0,0.0,0,0.0,0,0.0,0.0
115000.0,1.0,2.0,47.0,2.0,0.0,13.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
154750.0,2.0,2.0,43.0,2.0,0.0,20.0,42.3,68.0,0,0.0,0,0.0,0,0.0,0.0
92000.0,1.0,2.0,35.0,2.0,0.0,3.0,36.77,0.0,0,0.0,0,0.0,0,0.0,0.0
294502.0,1.0,2.0,63.0,3.0,0.0,59.0,64.02,0.0,0,0.0,0,0.0,0,0.0,0.0
